Filename,Material,Furnace,Standard,Thickness,Width,Length,Material_Code,Entry Time,Postal_Code,Batch,Delivery Time,宽度,长度
steel_1,Q235C,SGLV0IX,GB/T 1122-2021,8,2500,5000,F2,2023/1/1,200002,Q7,2023/4/1,2500,5000
steel_2,Q345C,O1HPDT0,GB/T 6060-2017,20,2500,5000,F6,2023/1/2,500005,Q3,2023/1/1,2500,5000
steel_3,Q345R(R-HIC),AJK6SED,GB/T 3050-2020,15,2500,5000,F3,2023/1/2,500005,Q9,2023/4/1,2500,5000
steel_4,Q235C,FA1K4WR,GB/T 2025-2015,18,2500,5000,F1,2023/1/1,300003,Q2,2023/1/1,2500,5000
steel_5,Q345B,X4B4V36,GB/T 6060-2017,16,2500,5000,F2,2023/1/3,200002,Q10,2023/7/1,2500,5000
steel_6,Q245A,R3X73GM,GB/T 1122-2021,8,2500,5000,F8,2023/1/1,200002,Q4,2023/10/1,2500,5000
steel_7,Q345R(R-HIC),18L9LKP,GB/T 6060-2017,16,2500,5000,F4,2023/1/1,300003,Q8,2023/4/1,2500,5000
steel_8,Q345R(R-HIC),B94WQ6E,GB/T 3050-2020,10,2500,5000,F8,2023/1/3,500005,Q12,2023/7/1,2500,5000
steel_9,Q235C,D373K6W,GB/T 1122-2021,16,2500,5000,F5,2023/1/3,200002,Q4,2023/10/1,2500,5000
steel_10,Q235D,9KO3JBE,GB/T 6060-2017,10,2500,5000,F6,2023/1/2,200002,Q1,2023/1/1,2500,5000
steel_11,Q345B,CRX5AQ8,GB/T 2025-2015,21,2500,5000,F6,2023/1/2,500005,Q6,2023/10/1,2500,5000
steel_12,Q235C,Z2OJP25,GB/T 2025-2015,10,2500,5000,F8,2023/1/1,500005,Q9,2023/4/1,2500,5000
steel_13,Q345B,P2ML9R2,GB/T 4040-2019,25,2500,5000,F1,2023/1/3,200002,Q1,2023/1/1,2500,5000
steel_14,Q345B,E0QBYRP,GB/T 6060-2017,16,2500,5000,F8,2023/1/2,500005,Q12,2023/7/1,2500,5000
steel_15,Q245A,3A1RRGN,GB/T 5050-2018,21,2500,5000,F7,2023/1/1,200002,Q10,2023/7/1,2500,5000
steel_16,Q345R(R-HIC),CTHO4QT,GB/T 6060-2017,18,2500,5000,F5,2023/1/3,500005,Q3,2023/1/1,2500,5000
steel_17,Q345C,NXITJH4,GB/T 1122-2021,20,2500,5000,F5,2023/1/1,500005,Q9,2023/4/1,2500,5000
steel_18,Q245A,ZXN6F8S,GB/T 1122-2021,21,2500,5000,F8,2023/1/2,300003,Q5,2023/10/1,2500,5000
steel_19,Q245A,3GVSNY9,GB/T 6060-2017,16,2500,5000,F4,2023/1/2,500005,Q12,2023/7/1,2500,5000
steel_20,Q345B,QKLWHZ9,GB/T 3050-2020,18,2500,5000,F4,2023/1/3,300003,Q5,2023/10/1,2500,5000
steel_21,Q245R(R-HIC),ZWZURLA,GB/T 2025-2015,18,2500,5000,F5,2023/1/1,500005,Q9,2023/4/1,2500,5000
steel_22,Q345R(R-HIC),28F5IXF,GB/T 1122-2021,18,2500,5000,F3,2023/1/3,200002,Q4,2023/10/1,2500,5000
steel_23,Q235D,WTJXGQU,GB/T 2025-2015,8,2500,5000,F4,2023/1/2,200002,Q7,2023/4/1,2500,5000
