Iteration,Best Score
1,7.915735628978996e+18
2,7.915735628978996e+18
3,4.862124308145663e+18
4,4.862124308145663e+18
5,3.0608549539789957e+18
6,3.0608549539789957e+18
7,3.0608549539789957e+18
8,3.0608549539789957e+18
9,2.489961957312329e+18
10,2.489961957312329e+18
11,2.489961957312329e+18
12,2.489961957312329e+18
13,2.489961957312329e+18
14,2.489961957312329e+18
15,2.489961957312329e+18
16,2.489961957312329e+18
17,2.489961957312329e+18
18,2.489961957312329e+18
19,2.489961957312329e+18
20,2.489961957312329e+18
21,2.489961957312329e+18
22,2.489961957312329e+18
23,2.0211201906456627e+18
24,2.0211201906456627e+18
25,2.0211201906456627e+18
26,2.0211201906456627e+18
27,2.0211201906456627e+18
28,2.0211201906456627e+18
29,2.0211201906456627e+18
30,2.0211201906456627e+18
