Iteration,Best Score
1,1.507430555593831e+18
1,1.5074305555950566e+18
2,1.4886805555950566e+18
3,1.4886805555950566e+18
4,1.4886805555950566e+18
5,1.4886805555950566e+18
6,1.4886805555950566e+18
7,1.4886805555950566e+18
8,1.4886805555950566e+18
9,1.4174305555950559e+18
10,1.4174305555950559e+18
11,1.4174305555950559e+18
12,1.4174305555950559e+18
13,1.4174305555950559e+18
14,1.3408680555950554e+18
15,1.3408680555950554e+18
16,1.3408680555950554e+18
17,1.3408680555950554e+18
18,1.3408680555950554e+18
19,1.265868055595055e+18
20,1.0978993055950547e+18
21,1.0978993055950547e+18
22,1.0978993055950547e+18
23,1.0978993055950547e+18
24,1.012065972261721e+18
25,1.012065972261721e+18
26,9.230034722617206e+17
27,7.8628472226172e+17
28,7.8628472226172e+17
29,7.8628472226172e+17
30,7.8628472226172e+17
31,7.8628472226172e+17
32,5.852430555950525e+17
33,5.852430555950525e+17
34,5.003472222617185e+17
35,5.003472222617185e+17
36,3.855034722617178e+17
37,3.855034722617178e+17
38,3.855034722617178e+17
39,3.655034722617178e+17
40,3.342534722617175e+17
41,3.342534722617175e+17
42,3.192534722617171e+17
43,3.192534722617171e+17
44,3.192534722617171e+17
45,3.192534722617171e+17
46,2.867013889283837e+17
47,2.867013889283837e+17
48,2.867013889283837e+17
49,2.867013889283837e+17
50,2.867013889283837e+17
51,2.775347222617168e+17
52,2.7420138892838352e+17
53,2.3878472226171696e+17
54,2.3878472226171696e+17
55,2.1586805559504973e+17
56,2.1586805559504973e+17
57,2.1586805559504973e+17
58,2.1586805559504973e+17
59,2.1586805559504973e+17
60,2.0836805559504966e+17
61,2.000347222617161e+17
62,1.7284722226171578e+17
63,1.7284722226171578e+17
64,1.7284722226171578e+17
65,1.2727430559504918e+17
66,1.2727430559504918e+17
67,1.2727430559504918e+17
68,1.2727430559504918e+17
69,1.2727430559504918e+17
70,1.2727430559504918e+17
71,9.977430559504872e+16
72,9.977430559504872e+16
73,9.977430559504872e+16
74,9.977430559504872e+16
75,9.977430559504872e+16
76,6.8836805595048424e+16
77,6.8836805595048424e+16
78,6.8836805595048424e+16
79,4.904513892838184e+16
80,4.904513892838184e+16
81,4.904513892838184e+16
82,4.904513892838184e+16
83,4.0711805595048776e+16
84,3.362847226171556e+16
85,3.362847226171556e+16
86,2.9722222261715284e+16
87,2.3472222261715416e+16
88,2.3472222261715416e+16
