Iteration,Best Score
1,1.7571104596427166e+19
2,1.7571104596427166e+19
3,1.7571104596427166e+19
4,1.7571104596427166e+19
5,1.7423594596427168e+19
6,1.717891178392717e+19
7,1.703197778392717e+19
8,1.703197778392717e+19
9,1.6896705758927167e+19
10,1.6330200425593836e+19
11,1.5314794175593834e+19
12,1.4417668550593833e+19
13,1.4417668550593833e+19
14,1.4417668550593833e+19
15,1.3494668488093831e+19
16,1.3494668488093831e+19
17,1.2897147238093832e+19
18,1.2897147238093832e+19
19,1.2209247238093832e+19
20,1.2209247238093832e+19
