Iteration,Best Score
1,2.6290450419783184e+19
2,2.5812814169865605e+19
3,2.2978053819948057e+19
4,2.2382572045030478e+19
5,1.9821344645112898e+19
6,1.844223735349569e+19
7,1.844223735349569e+19
8,1.6498553186993877e+19
9,1.48024465620763e+19
10,1.454223608714224e+19
11,1.454223608714224e+19
12,1.364998108727412e+19
13,1.269613296235429e+19
14,1.2692609462406e+19
15,1.185983833747193e+19
16,1.154039931253787e+19
17,1.0804092612620296e+19
18,9.778057859352904e+18
19,9.30664869273569e+18
20,8.791529192801631e+18
21,8.025985232851085e+18
22,7.913857607917026e+18
23,7.267795107982965e+18
24,5.615001920548905e+18
25,4.351111670614847e+18
26,3.686884170664302e+18
27,3.403168170697272e+18
28,2.2955890832632133e+18
29,1.8993790833456384e+18
30,1.5865524034280632e+18
31,1.2597579035104883e+18
32,1.2288401285929134e+18
33,1.1510982119921868e+18
34,7.997943720587137e+17
35,2.7999082212406653e+17
36,1.7660103052333987e+17
37,1.7660103052333987e+17
38,1.4266203063873488e+17
39,4.925328072115986e+16
40,1.9997655803584876e+16
41,1.9997655803584876e+16
42,6925155951949873.0
43,6925155951949873.0
44,6925155951949873.0
45,6925155951949873.0
46,6874756199224875.0
47,6874756199224875.0
48,6874756199224875.0
49,6874756199224875.0
50,6874756199224875.0
51,6874756199224875.0
52,6874756199224875.0
53,6874756199224875.0
54,6874756199224875.0
55,6874756199224875.0
56,6874756199224875.0
57,6874756199224875.0
58,6489757023474873.0
59,6489757023474873.0
60,6489757023474873.0
61,6489757023474873.0
62,6489757023474873.0
63,6489757023474873.0
64,6489757023474873.0
65,6489757023474873.0
66,2876257567479874.5
67,2876257567479874.5
68,2876257567479874.5
69,2876257567479874.5
70,2876257567479874.5
71,2876257567479874.5
72,2876257567479874.5
73,2876257567479874.5
74,2876257567479874.5
75,2876257567479874.5
76,2876257567479874.5
77,2876257567479874.5
78,2876257567479874.5
79,2876257567479874.5
80,2876257567479874.5
81,2876257567479874.5
82,2876257567479874.5
83,2876257567479874.5
84,2876257567479874.5
85,2876257567479874.5
86,2876257567479874.5
87,2876257567479874.5
88,2876257567479874.5
