Iteration,Best Score
1,1.388333291480174e+18
2,1.388333291480174e+18
3,1.388333291480174e+18
4,1.388333291480174e+18
5,1.388333291480174e+18
6,1.388333291480174e+18
7,1.388333291480174e+18
8,1.388333291480174e+18
9,1.388333291480174e+18
10,1.388333291480174e+18
11,1.388333291480174e+18
12,1.388333291480174e+18
13,1.388333291480174e+18
14,1.388333291480174e+18
15,1.388333291480174e+18
16,1.388333291480174e+18
17,1.388333291480174e+18
18,1.388333291480174e+18
19,1.388333291480174e+18
20,1.388333291480174e+18
21,1.388333291480174e+18
22,1.388333291480174e+18
23,1.388333291480174e+18
24,1.388333291480174e+18
25,1.388333291480174e+18
26,1.388333291480174e+18
27,1.388333291480174e+18
28,1.388333291480174e+18
29,1.388333291480174e+18
30,1.388333291480174e+18
31,1.388333291480174e+18
32,1.388333291480174e+18
33,1.388333291480174e+18
34,1.388333291480174e+18
35,1.388333291480174e+18
36,1.388333291480174e+18
37,1.388333291480174e+18
38,1.388333291480174e+18
39,1.388333291480174e+18
40,1.388333291480174e+18
41,1.388333291480174e+18
42,1.388333291480174e+18
43,1.388333291480174e+18
44,1.388333291480174e+18
45,1.3126273081468408e+18
46,1.3126273081468408e+18
47,1.0991647956468404e+18
48,1.0991647956468404e+18
49,1.0991647956468404e+18
50,1.0991647956468404e+18
51,1.0991647956468404e+18
52,1.0991647956468404e+18
53,1.0991647956468404e+18
54,1.0991647956468404e+18
55,1.0991647956468404e+18
56,1.0991647956468404e+18
57,1.0991647956468404e+18
58,1.0991647956468404e+18
59,1.0991647956468404e+18
60,1.0991647956468404e+18
61,1.0991647956468404e+18
62,1.0991647956468404e+18
63,1.0991647956468404e+18
64,1.0965043789801738e+18
65,1.0965043789801738e+18
66,1.0965043789801738e+18
67,9.716272164801734e+17
68,9.716272164801734e+17
69,9.716272164801734e+17
70,9.716272164801734e+17
71,9.6975013314684e+17
72,9.6975013314684e+17
73,9.6975013314684e+17
74,9.6975013314684e+17
75,9.6975013314684e+17
76,9.6975013314684e+17
77,9.6975013314684e+17
78,9.6975013314684e+17
79,9.6975013314684e+17
80,9.6975013314684e+17
81,9.6975013314684e+17
82,9.6975013314684e+17
83,9.6975013314684e+17
84,9.6975013314684e+17
85,9.6975013314684e+17
86,9.43632843980175e+17
87,9.43632843980175e+17
88,9.43632843980175e+17
89,9.43632843980175e+17
90,9.43632843980175e+17
91,9.43632843980175e+17
92,7.777749273135073e+17
93,7.777749273135073e+17
94,7.777749273135073e+17
95,7.777749273135073e+17
96,7.777749273135073e+17
97,7.777749273135073e+17
98,7.17907135646841e+17
99,7.17907135646841e+17
100,7.17907135646841e+17
1,7.179071356475357e+17
2,6.320757356475354e+17
3,6.320757356475354e+17
4,6.320757356475354e+17
5,6.320757356475354e+17
6,6.320757356475354e+17
7,5.346278023142019e+17
8,5.022885523142017e+17
9,5.022885523142017e+17
10,5.022885523142017e+17
11,5.022885523142017e+17
12,5.022885523142017e+17
13,5.022885523142017e+17
14,5.022885523142017e+17
15,5.022885523142017e+17
16,4.3035509398086803e+17
17,4.3035509398086803e+17
18,4.3035509398086803e+17
19,4.3035509398086803e+17
20,4.3035509398086803e+17
21,4.3035509398086803e+17
22,4.3035509398086803e+17
23,4.102077606475348e+17
24,4.102077606475348e+17
25,4.102077606475348e+17
26,4.102077606475348e+17
27,2.642022606475349e+17
28,2.642022606475349e+17
29,2.642022606475349e+17
30,2.642022606475349e+17
31,1.0599292731420122e+17
32,4.707892731420115e+16
33,4.707892731420115e+16
34,4.707892731420115e+16
35,4.707892731420115e+16
36,4.707892731420115e+16
37,4.707892731420115e+16
38,4.707892731420115e+16
39,4.707892731420115e+16
40,3.7635452314200904e+16
41,3.7635452314200904e+16
42,3.7635452314200904e+16
43,3.7635452314200904e+16
44,3.7635452314200904e+16
45,3.7635452314200904e+16
46,3.7635452314200904e+16
47,3.7635452314200904e+16
48,3.7635452314200904e+16
49,3.7635452314200904e+16
50,3.7635452314200904e+16
51,3.7635452314200904e+16
52,2.581170231420107e+16
53,2.581170231420107e+16
54,2.581170231420107e+16
55,2.581170231420107e+16
56,2.581170231420107e+16
57,2.581170231420107e+16
58,2.581170231420107e+16
59,2.581170231420107e+16
60,2.581170231420107e+16
61,2.581170231420107e+16
62,2.581170231420107e+16
63,2.581170231420107e+16
64,2.581170231420107e+16
65,2.581170231420107e+16
66,2.581170231420107e+16
67,2.581170231420107e+16
68,2.581170231420107e+16
69,2.581170231420107e+16
70,2.581170231420107e+16
71,2.581170231420107e+16
72,2.581170231420107e+16
73,2.581170231420107e+16
74,2.581170231420107e+16
75,2.581170231420107e+16
76,2.581170231420107e+16
77,2.581170231420107e+16
78,2.581170231420107e+16
79,2.581170231420107e+16
80,2.581170231420107e+16
81,2.581170231420107e+16
82,2.581170231420107e+16
83,1.4750139814200928e+16
84,1.4750139814200928e+16
85,1.4750139814200928e+16
86,1.4750139814200928e+16
87,1.4750139814200928e+16
88,1.4750139814200928e+16
