Generation,Best Score
1,5.92430555593822e+17
2,4.527951389271583e+17
3,4.527951389271583e+17
4,4.527951389271583e+17
5,4.527951389271583e+17
6,4.527951389271583e+17
7,4.527951389271583e+17
8,4.527951389271583e+17
9,4.527951389271583e+17
10,3.923784722604932e+17
11,2.1144097226049085e+17
12,2.1144097226049085e+17
13,2.1144097226049085e+17
14,2.1144097226049085e+17
15,2.1144097226049085e+17
16,2.1144097226049085e+17
17,2.1144097226049085e+17
18,2.1144097226049085e+17
19,2.1144097226049085e+17
20,2.1144097226049085e+17
21,2.1144097226049085e+17
22,2.1144097226049085e+17
23,2.1144097226049085e+17
