Iteration,Best Score
1,8.421087466480173e+18
2,8.421087466480173e+18
3,7.212025509813506e+18
4,7.212025509813506e+18
5,7.212025509813506e+18
6,7.212025509813506e+18
7,7.212025509813506e+18
8,7.212025509813506e+18
9,7.212025509813506e+18
10,7.212025509813506e+18
11,7.212025509813506e+18
12,7.212025509813506e+18
13,7.212025509813506e+18
14,7.212025509813506e+18
15,7.212025509813506e+18
16,7.212025509813506e+18
17,7.212025509813506e+18
18,7.212025509813506e+18
19,7.212025509813506e+18
20,7.212025509813506e+18
21,7.212025509813506e+18
22,7.212025509813506e+18
23,7.086189943980173e+18
24,7.086189943980173e+18
25,7.086189943980173e+18
26,6.345186427313507e+18
27,6.345186427313507e+18
28,6.345186427313507e+18
29,6.089132117313507e+18
30,6.089132117313507e+18
31,5.811847783980174e+18
32,5.811847783980174e+18
33,5.811847783980174e+18
34,5.811847783980174e+18
35,5.811847783980174e+18
36,5.811847783980174e+18
37,5.811847783980174e+18
38,5.811847783980174e+18
39,5.811847783980174e+18
40,5.811847783980174e+18
41,5.811847783980174e+18
42,5.811847783980174e+18
43,5.811847783980174e+18
44,5.811847783980174e+18
45,5.811847783980174e+18
46,5.811847783980174e+18
47,5.811847783980174e+18
48,5.811847783980174e+18
49,5.811847783980174e+18
50,5.811847783980174e+18
51,5.811847783980174e+18
52,5.811847783980174e+18
53,5.811847783980174e+18
54,5.811847783980174e+18
55,5.811847783980174e+18
56,5.811847783980174e+18
57,5.811847783980174e+18
58,5.811847783980174e+18
59,5.811847783980174e+18
60,5.811847783980174e+18
61,5.811847783980174e+18
62,5.811847783980174e+18
63,5.811847783980174e+18
64,5.811847783980174e+18
65,5.811847783980174e+18
66,5.811847783980174e+18
67,5.811847783980174e+18
68,5.811847783980174e+18
69,4.655060940646845e+18
70,4.655060940646845e+18
71,4.655060940646845e+18
72,4.655060940646845e+18
73,4.655060940646845e+18
74,4.655060940646845e+18
75,4.655060940646845e+18
76,4.596241192313516e+18
77,4.596241192313516e+18
78,4.596241192313516e+18
79,4.596241192313516e+18
80,4.596241192313516e+18
81,4.596241192313516e+18
82,4.596241192313516e+18
83,4.2678901889801825e+18
84,4.2678901889801825e+18
85,4.2678901889801825e+18
86,4.2678901889801825e+18
87,4.2678901889801825e+18
88,4.2678901889801825e+18
89,3.811958522313516e+18
90,3.554526022313516e+18
91,3.554526022313516e+18
92,3.554526022313516e+18
93,3.554526022313516e+18
94,3.554526022313516e+18
95,3.554526022313516e+18
96,3.554526022313516e+18
97,3.554526022313516e+18
98,3.554526022313516e+18
99,3.554526022313516e+18
100,3.554526022313516e+18
