Iteration,Best Score
1,2.681761375646842e+18
1,2.1972501256475356e+18
2,1.9134588756475359e+18
3,1.9134588756475359e+18
4,1.7922059256475359e+18
5,1.7922059256475359e+18
6,1.7922059256475359e+18
7,1.7922059256475359e+18
8,1.3805337381475356e+18
9,1.360975613147536e+18
10,1.360975613147536e+18
11,1.1379839631475357e+18
12,1.1379839631475357e+18
13,1.1379839631475357e+18
14,1.030779900647536e+18
15,1.030779900647536e+18
16,1.030779900647536e+18
17,8.559234006475351e+17
18,8.559234006475351e+17
19,8.559234006475351e+17
20,8.559234006475351e+17
21,8.559234006475351e+17
22,6.891921506475347e+17
23,6.891921506475347e+17
24,6.891921506475347e+17
25,6.891921506475347e+17
26,6.891921506475347e+17
27,6.891921506475347e+17
28,6.891921506475347e+17
29,6.891921506475347e+17
30,6.891921506475347e+17
31,6.891921506475347e+17
32,6.891921506475347e+17
33,6.891921506475347e+17
34,6.891921506475347e+17
35,6.891921506475347e+17
36,6.891921506475347e+17
37,6.891921506475347e+17
38,6.891921506475347e+17
39,6.863702756475354e+17
40,6.863702756475354e+17
41,6.863702756475354e+17
42,6.863702756475354e+17
43,6.863702756475354e+17
44,6.863702756475354e+17
45,6.863702756475354e+17
46,6.863702756475354e+17
47,6.863702756475354e+17
48,4.626332906475351e+17
49,4.626332906475351e+17
50,3.8068761564753466e+17
51,3.7799699064753395e+17
52,1.6680974064753437e+17
53,1.6680974064753437e+17
54,6.003749064753476e+16
55,6.003749064753476e+16
56,6.003749064753476e+16
57,6.003749064753476e+16
58,6.003749064753476e+16
59,5.7153740647534456e+16
60,5.7153740647534456e+16
61,5.7153740647534456e+16
62,5.7153740647534456e+16
63,5.7153740647534456e+16
64,5.7153740647534456e+16
65,5.7153740647534456e+16
66,5.7153740647534456e+16
67,5.7153740647534456e+16
68,5.7153740647534456e+16
69,5.7153740647534456e+16
70,5.7153740647534456e+16
71,5.4442940647534776e+16
72,5.4442940647534776e+16
73,5.034610731420142e+16
74,5.034610731420142e+16
75,5.034610731420142e+16
76,5.034610731420142e+16
77,5.034610731420142e+16
78,5.034610731420142e+16
79,5.034610731420142e+16
80,5.034610731420142e+16
81,5.034610731420142e+16
82,3.324048231420157e+16
83,3.324048231420157e+16
84,3.324048231420157e+16
85,3.324048231420157e+16
86,3.324048231420157e+16
87,3.324048231420157e+16
88,3.324048231420157e+16
