Iteration,Best Score
1,1.9430904268980187e+19
2,1.9430904268980187e+19
3,1.9430904268980187e+19
4,1.9241385463980188e+19
5,1.8987230463980188e+19
6,1.8759759963980186e+19
7,1.8759759963980186e+19
8,1.7909280797313518e+19
9,1.7909280797313518e+19
10,1.6688173797313516e+19
11,1.6688173797313516e+19
12,1.4562986547313517e+19
13,1.4562986547313517e+19
14,1.4562986547313517e+19
15,1.2997635297313513e+19
16,1.1516214723980182e+19
17,1.1516214723980182e+19
18,1.1516214723980182e+19
19,1.1172272523980182e+19
20,1.1172272523980182e+19
21,1.1172272523980182e+19
22,1.1172272523980182e+19
23,1.1172272523980182e+19
24,1.108030064898018e+19
25,1.098919814898018e+19
26,1.098919814898018e+19
27,1.098919814898018e+19
28,1.008523173648018e+19
29,1.008523173648018e+19
30,1.008523173648018e+19
31,1.008523173648018e+19
32,9.082860903146847e+18
33,9.082860903146847e+18
34,8.802336303146846e+18
35,8.802336303146846e+18
36,8.012560990646844e+18
37,7.441594807313509e+18
38,7.441594807313509e+18
39,7.441594807313509e+18
40,7.441594807313509e+18
41,7.441594807313509e+18
42,7.441594807313509e+18
43,5.88964094231351e+18
44,5.86270594231351e+18
45,5.76817556731351e+18
46,4.5890066673135104e+18
47,3.6025117173135104e+18
48,2.906668279813509e+18
49,2.906668279813509e+18
50,2.818167679813509e+18
51,2.818167679813509e+18
52,2.818167679813509e+18
53,2.818167679813509e+18
54,2.818167679813509e+18
55,2.818167679813509e+18
56,2.1557489298135086e+18
57,2.1557489298135086e+18
58,2.1557489298135086e+18
59,1.884041929813508e+18
60,1.5315377964801743e+18
61,1.5133856964801743e+18
62,1.5133856964801743e+18
63,1.1637409464801738e+18
64,1.1637409464801738e+18
65,1.1637409464801738e+18
66,1.0866468464801738e+18
67,1.0866468464801738e+18
68,1.0218144464801733e+18
69,1.0168207964801734e+18
70,1.0168207964801734e+18
71,7.609798214801736e+17
72,7.609798214801736e+17
73,7.609798214801736e+17
74,7.609798214801736e+17
75,7.609798214801736e+17
76,6.11446696480173e+17
77,6.11446696480173e+17
78,6.11446696480173e+17
79,6.11446696480173e+17
80,6.11446696480173e+17
81,6.11446696480173e+17
82,6.11446696480173e+17
83,6.11446696480173e+17
84,6.11446696480173e+17
85,6.11446696480173e+17
86,6.11446696480173e+17
87,6.11446696480173e+17
88,6.11446696480173e+17
