Iteration,Best Score
1,1.186283713927162e+18
2,8.464271130938257e+17
3,8.464271130938257e+17
4,8.464271130938257e+17
5,8.464271130938257e+17
6,8.464271130938257e+17
7,8.464271130938257e+17
8,8.464271130938257e+17
9,8.464271130938257e+17
10,8.464271130938257e+17
11,8.464271130938257e+17
12,8.464271130938257e+17
13,8.464271130938257e+17
14,2.5447986892715827e+17
15,2.5447986892715827e+17
16,2.5447986892715827e+17
17,2.5447986892715827e+17
18,2.5447986892715827e+17
19,2.5447986892715827e+17
20,2.5447986892715827e+17
21,2.5447986892715827e+17
22,2.5447986892715827e+17
23,2.5447986892715827e+17
24,2.5447986892715827e+17
25,2.5447986892715827e+17
26,2.5447986892715827e+17
27,2.5447986892715827e+17
28,2.5447986892715827e+17
29,2.5447986892715827e+17
30,2.5447986892715827e+17
31,2.5447986892715827e+17
32,2.5447986892715827e+17
33,2.5447986892715827e+17
34,2.5447986892715827e+17
35,2.5447986892715827e+17
36,2.5447986892715827e+17
37,2.5447986892715827e+17
38,2.5447986892715827e+17
39,2.5447986892715827e+17
40,2.5447986892715827e+17
41,2.5447986892715827e+17
42,2.5447986892715827e+17
43,2.5447986892715827e+17
44,2.5447986892715827e+17
45,2.5447986892715827e+17
46,1.7880556476048864e+17
47,1.7880556476048864e+17
48,1.7880556476048864e+17
49,1.7880556476048864e+17
50,1.7880556476048864e+17
51,1.7880556476048864e+17
52,1.7880556476048864e+17
53,1.7880556476048864e+17
54,1.7880556476048864e+17
55,1.7880556476048864e+17
56,1.7880556476048864e+17
57,1.7880556476048864e+17
58,1.7880556476048864e+17
59,1.7880556476048864e+17
60,1.7880556476048864e+17
61,1.7880556476048864e+17
62,1.7880556476048864e+17
63,1.7880556476048864e+17
64,1.7880556476048864e+17
65,1.7880556476048864e+17
66,1.7880556476048864e+17
67,1.7880556476048864e+17
68,1.7880556476048864e+17
69,1.7880556476048864e+17
70,1.7880556476048864e+17
71,1.7880556476048864e+17
72,1.7880556476048864e+17
73,1.7880556476048864e+17
74,1.7880556476048864e+17
75,1.7880556476048864e+17
76,1.7880556476048864e+17
77,1.7880556476048864e+17
78,1.7880556476048864e+17
79,1.7880556476048864e+17
80,1.7880556476048864e+17
81,1.7880556476048864e+17
82,1.7880556476048864e+17
83,1.7880556476048864e+17
84,1.7880556476048864e+17
85,1.7880556476048864e+17
86,1.7880556476048864e+17
87,1.7880556476048864e+17
88,1.7880556476048864e+17
89,1.7880556476048864e+17
90,1.7880556476048864e+17
91,1.7880556476048864e+17
92,1.7880556476048864e+17
93,1.7880556476048864e+17
94,1.7880556476048864e+17
95,1.7880556476048864e+17
96,1.7880556476048864e+17
97,1.7880556476048864e+17
98,1.7880556476048864e+17
99,1.7880556476048864e+17
100,1.7880556476048864e+17
