Generation,Best Score
1,1.9702335264271575e+18
2,1.9332586572604954e+18
3,5.1820739976048934e+17
4,5.1820739976048934e+17
5,5.1820739976048934e+17
6,5.1820739976048934e+17
7,5.1820739976048934e+17
8,5.1820739976048934e+17
9,5.1820739976048934e+17
10,5.1820739976048934e+17
11,5.1820739976048934e+17
12,4.828075680938253e+17
13,4.828075680938253e+17
14,2.8708844142715926e+17
15,2.8708844142715926e+17
16,2.8708844142715926e+17
17,2.8708844142715926e+17
18,2.8708844142715926e+17
19,2.8708844142715926e+17
20,2.8708844142715926e+17
21,2.8708844142715926e+17
22,2.8708844142715926e+17
23,2.8708844142715926e+17
24,2.8708844142715926e+17
25,2.8708844142715926e+17
26,2.8708844142715926e+17
27,2.8708844142715926e+17
28,2.8708844142715926e+17
29,2.8708844142715926e+17
30,2.8708844142715926e+17
31,2.8708844142715926e+17
32,2.8708844142715926e+17
33,2.8708844142715926e+17
34,2.8708844142715926e+17
35,2.8708844142715926e+17
36,2.8708844142715926e+17
37,2.8708844142715926e+17
38,2.8708844142715926e+17
39,2.8708844142715926e+17
40,2.8708844142715926e+17
41,2.8708844142715926e+17
42,2.8708844142715926e+17
43,2.8708844142715926e+17
44,2.8708844142715926e+17
45,2.8708844142715926e+17
46,2.8708844142715926e+17
47,2.8708844142715926e+17
48,2.8708844142715926e+17
49,2.8708844142715926e+17
50,2.8708844142715926e+17
51,2.8708844142715926e+17
52,2.8708844142715926e+17
53,2.8708844142715926e+17
54,2.8708844142715926e+17
55,2.8708844142715926e+17
56,2.8708844142715926e+17
57,2.8708844142715926e+17
58,2.8708844142715926e+17
59,2.8708844142715926e+17
60,2.8708844142715926e+17
61,2.8708844142715926e+17
62,2.8708844142715926e+17
63,2.8708844142715926e+17
64,2.8708844142715926e+17
65,2.8708844142715926e+17
66,2.8708844142715926e+17
67,2.8708844142715926e+17
68,2.8708844142715926e+17
69,2.8708844142715926e+17
70,2.8708844142715926e+17
71,2.8708844142715926e+17
72,2.8708844142715926e+17
73,2.8708844142715926e+17
74,2.8708844142715926e+17
75,2.8708844142715926e+17
76,2.8708844142715926e+17
77,2.8708844142715926e+17
78,2.8708844142715926e+17
79,2.8708844142715926e+17
80,2.8708844142715926e+17
81,2.8708844142715926e+17
82,2.8708844142715926e+17
83,2.8708844142715926e+17
84,2.8708844142715926e+17
85,2.8708844142715926e+17
86,2.8708844142715926e+17
87,2.8708844142715926e+17
88,2.8708844142715926e+17
89,2.8708844142715926e+17
90,2.8708844142715926e+17
91,2.8708844142715926e+17
92,2.8708844142715926e+17
93,2.8708844142715926e+17
94,2.8708844142715926e+17
95,2.8708844142715926e+17
96,2.8708844142715926e+17
97,2.8708844142715926e+17
98,2.8708844142715926e+17
99,2.8708844142715926e+17
100,2.8708844142715926e+17
