Generation,Best Score
1,2.500347222604899e+17
2,1.9263888892715875e+17
3,1.9263888892715875e+17
4,1.9263888892715875e+17
5,1.9263888892715875e+17
6,1.9263888892715875e+17
7,1.9263888892715875e+17
8,1.9263888892715875e+17
9,1.9263888892715875e+17
10,1.9263888892715875e+17
11,1.9263888892715875e+17
12,1.9263888892715875e+17
13,1.9263888892715875e+17
14,1.9263888892715875e+17
15,1.9263888892715875e+17
16,1.9263888892715875e+17
17,1.9263888892715875e+17
18,1.9263888892715875e+17
19,1.9263888892715875e+17
20,1.9263888892715875e+17
21,1.9263888892715875e+17
22,1.9263888892715875e+17
23,1.9263888892715875e+17
24,1.9263888892715875e+17
25,1.9263888892715875e+17
26,1.9263888892715875e+17
27,1.9263888892715875e+17
28,1.9263888892715875e+17
29,1.9263888892715875e+17
30,1.9263888892715875e+17
31,1.9263888892715875e+17
32,1.9263888892715875e+17
33,1.9263888892715875e+17
34,1.9263888892715875e+17
35,1.9263888892715875e+17
36,1.9263888892715875e+17
37,1.9263888892715875e+17
38,1.9263888892715875e+17
39,1.9263888892715875e+17
40,1.9263888892715875e+17
41,1.9263888892715875e+17
42,1.9263888892715875e+17
43,1.9263888892715875e+17
44,1.9263888892715875e+17
45,9.743055559382453e+16
46,9.743055559382453e+16
47,9.743055559382453e+16
48,9.633680559382573e+16
49,9.633680559382573e+16
50,9.633680559382573e+16
51,9.633680559382573e+16
52,9.633680559382573e+16
53,9.633680559382573e+16
54,9.633680559382573e+16
55,9.633680559382573e+16
56,9.633680559382573e+16
57,9.633680559382573e+16
58,9.633680559382573e+16
59,9.633680559382573e+16
60,9.633680559382573e+16
61,9.633680559382573e+16
62,9.633680559382573e+16
63,9.633680559382573e+16
64,9.633680559382573e+16
65,9.633680559382573e+16
66,9.633680559382573e+16
67,9.633680559382573e+16
68,9.633680559382573e+16
69,9.633680559382573e+16
70,9.633680559382573e+16
71,9.633680559382573e+16
72,9.633680559382573e+16
73,9.633680559382573e+16
74,9.633680559382573e+16
75,9.633680559382573e+16
76,9.633680559382573e+16
77,9.633680559382573e+16
78,9.633680559382573e+16
79,9.633680559382573e+16
80,9.633680559382573e+16
81,9.633680559382573e+16
82,9.633680559382573e+16
83,9.633680559382573e+16
84,9.633680559382573e+16
85,9.633680559382573e+16
86,9.633680559382573e+16
87,9.633680559382573e+16
88,9.633680559382573e+16
89,9.633680559382573e+16
90,9.633680559382573e+16
91,9.633680559382573e+16
92,9.633680559382573e+16
93,9.633680559382573e+16
94,9.633680559382573e+16
95,6.9149305593822664e+16
96,6.9149305593822664e+16
97,6.9149305593822664e+16
98,6.9149305593822664e+16
99,6.9149305593822664e+16
100,6.9149305593822664e+16
