Iteration,Best Score
1,4.729513888927177e+18
2,4.729513888927177e+18
3,4.673368055593829e+18
4,4.673368055593829e+18
5,3.768836805593831e+18
6,3.768836805593831e+18
7,3.768836805593831e+18
8,3.768836805593831e+18
9,3.768836805593831e+18
10,3.768836805593831e+18
11,3.5214409722605005e+18
12,3.5214409722605005e+18
13,3.5214409722605005e+18
14,3.5214409722605005e+18
15,3.5214409722605005e+18
16,3.5214409722605005e+18
17,3.5214409722605005e+18
18,3.5214409722605005e+18
19,3.5214409722605005e+18
20,3.5214409722605005e+18
21,3.5214409722605005e+18
22,3.5214409722605005e+18
23,3.5214409722605005e+18
24,3.5214409722605005e+18
25,3.5214409722605005e+18
26,3.5214409722605005e+18
27,1.4152951389271626e+18
28,1.4152951389271626e+18
29,1.4152951389271626e+18
30,1.4152951389271626e+18
31,1.4152951389271626e+18
32,1.4152951389271626e+18
33,1.4152951389271626e+18
34,1.4152951389271626e+18
35,1.4152951389271626e+18
36,1.4152951389271626e+18
37,1.4152951389271626e+18
38,1.4152951389271626e+18
39,1.4152951389271626e+18
40,1.4152951389271626e+18
41,1.4152951389271626e+18
42,1.4152951389271626e+18
43,1.4152951389271626e+18
44,1.4152951389271626e+18
45,1.4152951389271626e+18
46,1.4152951389271626e+18
47,1.4152951389271626e+18
48,1.4152951389271626e+18
49,1.4152951389271626e+18
50,1.4152951389271626e+18
51,1.4152951389271626e+18
52,1.4152951389271626e+18
53,1.4152951389271626e+18
54,1.4152951389271626e+18
55,1.4152951389271626e+18
56,1.4152951389271626e+18
57,1.4152951389271626e+18
58,1.4152951389271626e+18
59,1.4152951389271626e+18
60,1.4152951389271626e+18
61,1.4152951389271626e+18
62,1.4152951389271626e+18
63,1.4152951389271626e+18
64,1.4152951389271626e+18
65,1.4152951389271626e+18
66,1.4152951389271626e+18
67,1.4152951389271626e+18
68,1.4152951389271626e+18
69,1.4152951389271626e+18
70,1.4152951389271626e+18
71,1.4152951389271626e+18
72,1.4152951389271626e+18
73,1.4152951389271626e+18
74,1.4152951389271626e+18
75,1.4152951389271626e+18
76,1.4152951389271626e+18
77,1.4152951389271626e+18
78,1.4152951389271626e+18
79,1.4152951389271626e+18
80,1.4152951389271626e+18
81,1.4152951389271626e+18
82,1.4152951389271626e+18
83,1.4152951389271626e+18
84,1.4152951389271626e+18
85,1.4152951389271626e+18
86,1.4152951389271626e+18
87,1.4152951389271626e+18
88,1.4152951389271626e+18
89,1.4152951389271626e+18
90,1.4152951389271626e+18
91,1.4152951389271626e+18
92,1.4152951389271626e+18
93,1.4152951389271626e+18
94,1.4152951389271626e+18
95,1.4152951389271626e+18
96,1.4152951389271626e+18
97,1.4152951389271626e+18
98,1.4152951389271626e+18
99,1.4152951389271626e+18
100,1.4152951389271626e+18
