Filename,Material,Furnace,Standard,Thickness,Width,Length,Material_Code,Entry Time,Postal_Code,Batch,Delivery Time,宽度,长度,Final Area,Final X,Final Y,Stacking Start Height,Stacking Height
steel_1,Q235C,SGLV0IX,GB/T 1122-2021,8,2500,5000,F2,2023-01-01,200002,Q7,2023-04-01,2500,5000,3,0,0,0.0,8.0
steel_2,Q345C,O1HPDT0,GB/T 6060-2017,20,2500,5000,F6,2023-01-02,500005,Q3,2023-01-01,2500,5000,5,0,1,0.0,20.0
steel_3,Q345R(R-HIC),AJK6SED,GB/T 3050-2020,15,2500,5000,F3,2023-01-02,500005,Q9,2023-04-01,2500,5000,0,0,2,0.0,15.0
steel_4,Q235C,FA1K4WR,GB/T 2025-2015,18,2500,5000,F1,2023-01-01,300003,Q2,2023-01-01,2500,5000,3,1,1,0.0,18.0
steel_5,Q345B,X4B4V36,GB/T 6060-2017,16,2500,5000,F2,2023-01-03,200002,Q10,2023-07-01,2500,5000,1,1,1,0.0,16.0
steel_6,Q245A,R3X73GM,GB/T 1122-2021,8,2500,5000,F8,2023-01-01,200002,Q4,2023-10-01,2500,5000,5,0,1,20.0,28.0
steel_7,Q345R(R-HIC),18L9LKP,GB/T 6060-2017,16,2500,5000,F4,2023-01-01,300003,Q8,2023-04-01,2500,5000,2,0,0,0.0,16.0
steel_8,Q345R(R-HIC),B94WQ6E,GB/T 3050-2020,10,2500,5000,F8,2023-01-03,500005,Q12,2023-07-01,2500,5000,2,0,1,0.0,10.0
steel_9,Q235C,D373K6W,GB/T 1122-2021,16,2500,5000,F5,2023-01-03,200002,Q4,2023-10-01,2500,5000,2,1,0,0.0,16.0
steel_10,Q235D,9KO3JBE,GB/T 6060-2017,10,2500,5000,F6,2023-01-02,200002,Q1,2023-01-01,2500,5000,2,1,1,0.0,10.0
steel_11,Q345B,CRX5AQ8,GB/T 2025-2015,21,2500,5000,F6,2023-01-02,500005,Q6,2023-10-01,2500,5000,1,0,2,0.0,21.0
steel_12,Q235C,Z2OJP25,GB/T 2025-2015,10,2500,5000,F8,2023-01-01,500005,Q9,2023-04-01,2500,5000,5,1,1,0.0,10.0
steel_13,Q345B,P2ML9R2,GB/T 4040-2019,25,2500,5000,F1,2023-01-03,200002,Q1,2023-01-01,2500,5000,3,0,0,8.0,33.0
steel_14,Q345B,E0QBYRP,GB/T 6060-2017,16,2500,5000,F8,2023-01-02,500005,Q12,2023-07-01,2500,5000,5,0,1,28.0,44.0
steel_15,Q245A,3A1RRGN,GB/T 5050-2018,21,2500,5000,F7,2023-01-01,200002,Q10,2023-07-01,2500,5000,1,2,0,0.0,21.0
steel_16,Q345R(R-HIC),CTHO4QT,GB/T 6060-2017,18,2500,5000,F5,2023-01-03,500005,Q3,2023-01-01,2500,5000,1,2,1,0.0,18.0
steel_17,Q345C,NXITJH4,GB/T 1122-2021,20,2500,5000,F5,2023-01-01,500005,Q9,2023-04-01,2500,5000,5,0,0,0.0,20.0
steel_18,Q245A,ZXN6F8S,GB/T 1122-2021,21,2500,5000,F8,2023-01-02,300003,Q5,2023-10-01,2500,5000,5,0,1,44.0,65.0
steel_19,Q245A,3GVSNY9,GB/T 6060-2017,16,2500,5000,F4,2023-01-02,500005,Q12,2023-07-01,2500,5000,1,0,2,21.0,37.0
steel_20,Q345B,QKLWHZ9,GB/T 3050-2020,18,2500,5000,F4,2023-01-03,300003,Q5,2023-10-01,2500,5000,1,1,0,0.0,18.0
steel_21,Q245R(R-HIC),ZWZURLA,GB/T 2025-2015,18,2500,5000,F5,2023-01-01,500005,Q9,2023-04-01,2500,5000,5,0,0,20.0,38.0
steel_22,Q345R(R-HIC),28F5IXF,GB/T 1122-2021,18,2500,5000,F3,2023-01-03,200002,Q4,2023-10-01,2500,5000,5,0,1,65.0,83.0
steel_23,Q235D,WTJXGQU,GB/T 2025-2015,8,2500,5000,F4,2023-01-02,200002,Q7,2023-04-01,2500,5000,3,1,0,0.0,8.0
steel_24,Q245A,Y919H41,GB/T 1122-2021,16,2500,5000,F8,2023-01-02,500005,Q12,2023-07-01,2500,5000,4,1,1,0.0,16.0
steel_25,Q345C,PVE4CU2,GB/T 4040-2019,18,2500,5000,F4,2023-01-01,500005,Q6,2023-10-01,2500,5000,0,0,0,0.0,18.0
steel_26,Q245R(R-HIC),TXMSCFY,GB/T 5050-2018,18,2500,5000,F5,2023-01-01,200002,Q1,2023-01-01,2500,5000,5,0,1,83.0,101.0
steel_27,Q245R(R-HIC),VOV2BEQ,GB/T 1122-2021,21,2500,5000,F1,2023-01-01,500005,Q3,2023-01-01,2500,5000,2,1,0,16.0,37.0
steel_28,Q235D,S72FQGP,GB/T 2025-2015,20,2500,5000,F2,2023-01-03,300003,Q8,2023-04-01,2500,5000,2,1,1,10.0,30.0
steel_29,Q245A,8YVXEKN,GB/T 4040-2019,25,2500,5000,F4,2023-01-01,300003,Q11,2023-07-01,2500,5000,2,2,0,0.0,25.0
steel_30,Q345C,Q0CYXUI,GB/T 1122-2021,15,2500,5000,F7,2023-01-01,300003,Q5,2023-10-01,2500,5000,1,1,2,0.0,15.0
steel_31,Q345R(R-HIC),NWI1M3X,GB/T 3050-2020,15,2500,5000,F1,2023-01-02,300003,Q2,2023-01-01,2500,5000,5,1,0,0.0,15.0
steel_32,Q235B,BW645ZG,GB/T 5050-2018,16,2500,5000,F3,2023-01-02,300003,Q2,2023-01-01,2500,5000,2,0,1,10.0,26.0
steel_33,Q345C,BRM0WHW,GB/T 1122-2021,16,2500,5000,F7,2023-01-01,500005,Q3,2023-01-01,2500,5000,0,0,0,18.0,34.0
steel_34,Q235D,3A1RRGN,GB/T 4040-2019,21,2500,5000,F8,2023-01-01,500005,Q6,2023-10-01,2500,5000,0,0,1,0.0,21.0
steel_35,Q245R(R-HIC),0P48PTI,GB/T 3050-2020,10,2500,5000,F2,2023-01-02,300003,Q2,2023-01-01,2500,5000,4,1,0,0.0,10.0
steel_36,Q345R(R-HIC),CQU1C4C,GB/T 6060-2017,21,2500,5000,F8,2023-01-01,500005,Q3,2023-01-01,2500,5000,5,1,1,10.0,31.0
steel_37,Q345C,ZE9E4AH,GB/T 4040-2019,16,2500,5000,F2,2023-01-03,500005,Q12,2023-07-01,2500,5000,5,0,0,38.0,54.0
steel_38,Q235B,1K5BJFG,GB/T 4040-2019,18,2500,5000,F2,2023-01-03,300003,Q11,2023-07-01,2500,5000,2,0,1,26.0,44.0
