Iteration,Best Score
1,5.606000815728299e+19
2,5.606000815728299e+19
3,5.130174460743156e+19
4,5.015131510748101e+19
5,4.6430358167546946e+19
6,4.425521510509641e+19
7,4.359431285516234e+19
8,4.095071325524477e+19
9,3.91682188178107e+19
10,3.6120947380376646e+19
11,3.215197363045907e+19
12,2.9294740230508524e+19
13,2.8748094630590947e+19
14,2.7035677830673375e+19
15,2.5450355297422467e+19
16,2.5450355297422467e+19
17,2.398408376422103e+19
18,2.0996587514286973e+19
19,1.8703530951836426e+19
20,1.6453287618569034e+19
21,1.4196288868651459e+19
22,1.0373490014550725e+19
23,8.672449919616664e+18
24,8.348606469715573e+18
25,7.262106469781513e+18
26,6.155962879797997e+18
27,6.118696129880422e+18
28,5.560512379962847e+18
29,4.847295796695454e+18
30,4.278965796761395e+18
31,4.011166296827335e+18
32,3.374128971893275e+18
33,3.1628667844427295e+18
34,2.210981117842005e+18
35,1.7997228929244298e+18
36,1.3350916430068552e+18
37,1.274793643072795e+18
38,8.939689364720685e+17
39,8.737711365544934e+17
40,7.463423866204334e+17
41,7.463423866204334e+17
42,7.463423866204334e+17
43,6.587023868017686e+17
44,6.587023868017686e+17
45,5.384648869336485e+17
46,4.105690744831035e+17
47,1.527919745820132e+17
48,1.414992246314682e+17
49,1.414992246314682e+17
50,1.2385922473037819e+17
51,5.500401644649987e+16
52,5.500401644649987e+16
53,5.500401644649987e+16
54,2.025501667728988e+16
55,2.025501667728988e+16
56,2.025501667728988e+16
57,2.025501667728988e+16
58,2.025501667728988e+16
59,2.025501667728988e+16
60,2.025501667728988e+16
61,1.9105867171839876e+16
62,1.6035200571113206e+16
63,5009075637053208.0
64,5009075637053208.0
65,5009075637053208.0
66,5009075637053208.0
67,5009075637053208.0
68,5009075637053208.0
69,5009075637053208.0
70,5009075637053208.0
71,5009075637053208.0
72,5009075637053208.0
73,4109576411848208.0
74,4109576411848208.0
75,4109576411848208.0
76,4109576411848208.0
77,4109576411848208.0
78,4109576411848208.0
79,4109576411848208.0
80,4109576411848208.0
81,4109576411848208.0
82,4109576411848208.0
83,4109576411848208.0
84,4109576411848208.0
85,4109576411848208.0
86,4109576411848208.0
87,4109576411848208.0
88,2723577400948208.0
