Filename,Material,Furnace,Standard,Thickness,Width,Length,Material_Code,Entry Time,  ,Delivery Time,Batch,Final Area,Final X,Final Y,Stacking Start Height,Stacking Height
steel_1,Q345C,GCRHTSK,GB/T 1122-2021,8,4700,7500,F8,2023-01-02,400004,2023-08-10,Q9,4,0,0,0.0,8.0
steel_2,Q345B,7IX24X6,GB/T 5050-2018,16,3500,11500,F2,2023-01-02,200002,2023-04-20,Q7,0,0,1,0.0,16.0
steel_3,Q235D,SNAUE12,GB/T 4040-2019,20,3500,7500,F7,2023-01-03,500005,2023-01-31,Q15,1,0,2,0.0,20.0
steel_4,Q345B,RA9VXLL,GB/T 3050-2020,21,2500,13000,F7,2023-01-01,200002,2023-11-18,Q2,2,1,1,0.0,21.0
steel_5,Q345C,OYJ1KIP,GB/T 4040-2019,16,2700,11500,F7,2023-01-02,400004,2023-04-26,Q9,0,1,1,0.0,16.0
steel_6,Q245A,UILQU2Z,GB/T 6060-2017,21,2700,15000,F5,2023-01-02,200002,2023-08-19,Q7,4,0,1,0.0,21.0
steel_7,Q235C,UEA5MQ2,GB/T 5050-2018,21,2500,7500,F6,2023-01-02,500005,2023-07-06,Q10,4,1,0,0.0,21.0
steel_8,Q345R(R-HIC),95IQ4Z7,GB/T 2025-2015,16,4700,7500,F4,2023-01-03,200002,2023-03-21,Q12,2,0,1,0.0,16.0
steel_9,Q235C,CCY29L2,GB/T 5050-2018,16,2700,7500,F4,2023-01-02,200002,2023-08-11,Q7,5,0,0,0.0,16.0
steel_10,Q235C,NXITJH4,GB/T 6060-2017,10,2500,7500,F6,2023-01-03,300003,2023-01-24,Q13,3,0,1,0.0,10.0
steel_11,Q345B,7Y5SPMH,GB/T 2025-2015,25,4700,7500,F8,2023-01-03,100001,2023-10-19,Q11,1,0,2,20.0,45.0
steel_12,Q245R(R-HIC),CYXIRMO,GB/T 5050-2018,21,4700,11500,F7,2023-01-03,200002,2023-09-08,Q12,2,2,1,0.0,21.0
steel_13,Q235B,ROGBOID,GB/T 1122-2021,8,2500,7500,F6,2023-01-03,100001,2023-04-07,Q11,0,1,1,16.0,24.0
steel_14,Q235B,JGW5Z76,GB/T 4040-2019,16,4700,11500,F7,2023-01-03,100001,2023-10-02,Q11,0,1,2,0.0,16.0
