Filename,Material,Furnace,Standard,Thickness,Width,Length,Material_Code,Entry Time,Postal_Code,Batch,Delivery Time,Final Area,Final X,Final Y,Stacking Start Height,Stacking Height
steel_1,Q235B,RA9VXLL,GB/T 1122-2021,8,2700,7500,F1,2023-01-02,200002,Q1,2023-01-01,4,0,0,0.0,8.0
steel_2,Q235B,K6CAJCP,GB/T 4040-2019,18,2500,7500,F8,2023-01-03,200002,Q1,2023-01-01,0,0,1,0.0,18.0
steel_3,Q235D,UJVZH9X,GB/T 3050-2020,20,2700,5000,F4,2023-01-03,200002,Q1,2023-01-01,1,0,2,0.0,20.0
steel_4,Q345B,87STL9J,GB/T 4040-2019,18,2700,5000,F7,2023-01-02,200002,Q1,2023-01-01,0,1,0,0.0,18.0
steel_5,Q345C,621MUFR,GB/T 1122-2021,10,2700,7500,F3,2023-01-03,200002,Q1,2023-01-01,2,2,0,0.0,10.0
steel_6,Q345R(R-HIC),YKSG0LB,GB/T 5050-2018,16,2500,7500,F6,2023-01-03,200002,Q1,2023-01-01,2,2,1,0.0,16.0
steel_7,Q245R(R-HIC),TDZF6LU,GB/T 5050-2018,25,2700,7500,F7,2023-01-01,200002,Q1,2023-01-01,2,0,0,0.0,25.0
steel_8,Q235D,MZOA1RK,GB/T 5050-2018,25,2700,11500,F2,2023-01-01,200002,Q1,2023-01-01,0,2,1,0.0,25.0
steel_9,Q235C,QKLWHZ9,GB/T 3050-2020,25,2700,7500,F8,2023-01-02,200002,Q1,2023-01-01,0,0,0,0.0,25.0
steel_10,Q345C,8SB016D,GB/T 5050-2018,10,3500,17000,F2,2023-01-03,200002,Q1,2023-01-01,5,0,1,0.0,10.0
steel_11,Q345B,KQ891BC,GB/T 5050-2018,25,3500,11500,F1,2023-01-01,200002,Q1,2023-01-01,5,1,0,0.0,25.0
steel_12,Q345C,TDOT4RG,GB/T 3050-2020,10,2700,11500,F4,2023-01-02,200002,Q1,2023-01-01,4,1,1,0.0,10.0
steel_13,Q245A,UY71YNR,GB/T 5050-2018,16,2700,7500,F6,2023-01-01,200002,Q1,2023-01-01,0,1,1,0.0,16.0
steel_14,Q345C,Z54FGX4,GB/T 1122-2021,8,4700,11500,F2,2023-01-02,200002,Q1,2023-01-01,2,0,1,0.0,8.0
steel_15,Q235C,RIYO0RL,GB/T 2025-2015,16,2700,7500,F5,2023-01-03,200002,Q1,2023-01-01,3,1,0,0.0,16.0
steel_16,Q235C,Y2387UN,GB/T 4040-2019,21,3500,7500,F6,2023-01-01,200002,Q1,2023-01-01,2,1,1,0.0,21.0
steel_17,Q345R(R-HIC),AJK6SED,GB/T 4040-2019,20,2500,7500,F7,2023-01-02,200002,Q1,2023-01-01,4,0,0,8.0,28.0
steel_18,Q345B,BTHJIKU,GB/T 6060-2017,21,2500,7500,F5,2023-01-03,200002,Q1,2023-01-01,1,0,1,0.0,21.0
steel_19,Q235B,Z2OJP25,GB/T 4040-2019,21,4700,11500,F1,2023-01-02,200002,Q1,2023-01-01,2,0,0,25.0,46.0
steel_20,Q345C,SECBIFE,GB/T 6060-2017,18,2700,7500,F8,2023-01-03,200002,Q1,2023-01-01,0,1,0,18.0,36.0
steel_21,Q345B,GAAGU24,GB/T 5050-2018,20,2500,11500,F8,2023-01-03,200002,Q1,2023-01-01,0,1,1,16.0,36.0
steel_22,Q245A,GCRHTSK,GB/T 3050-2020,20,2500,7500,F1,2023-01-03,200002,Q1,2023-01-01,2,1,1,21.0,41.0
steel_23,Q235B,RTH5WLX,GB/T 4040-2019,15,2500,7500,F1,2023-01-01,200002,Q1,2023-01-01,2,2,0,10.0,25.0
steel_24,Q235B,87STL9J,GB/T 6060-2017,16,2700,5000,F3,2023-01-02,200002,Q1,2023-01-01,4,1,1,10.0,26.0
steel_25,Q245A,6CA4ZSB,GB/T 6060-2017,8,3500,13000,F2,2023-01-02,200002,Q1,2023-01-01,4,0,0,28.0,36.0
steel_26,Q245R(R-HIC),0P48PTI,GB/T 1122-2021,10,2500,7500,F7,2023-01-03,200002,Q1,2023-01-01,2,0,1,8.0,18.0
steel_27,Q345B,KHE3W7A,GB/T 3050-2020,25,2500,13000,F6,2023-01-03,200002,Q1,2023-01-01,5,1,0,25.0,50.0
steel_28,Q345R(R-HIC),A2JOJE7,GB/T 2025-2015,8,4700,7500,F3,2023-01-03,200002,Q1,2023-01-01,5,1,1,0.0,8.0
steel_29,Q345R(R-HIC),28F5IXF,GB/T 6060-2017,21,2700,11500,F6,2023-01-03,200002,Q1,2023-01-01,2,2,0,25.0,46.0
steel_30,Q245R(R-HIC),SGT2BRK,GB/T 3050-2020,25,2700,5000,F3,2023-01-01,200002,Q1,2023-01-01,5,0,1,10.0,35.0
steel_31,Q345B,O1HPDT0,GB/T 3050-2020,10,2500,5000,F7,2023-01-03,200002,Q1,2023-01-01,0,2,0,0.0,10.0
steel_32,Q345B,RA3VNVC,GB/T 1122-2021,16,3500,11500,F5,2023-01-03,200002,Q1,2023-01-01,0,2,1,25.0,41.0
steel_33,Q235B,6CA4ZSB,GB/T 6060-2017,25,3500,5000,F1,2023-01-01,200002,Q1,2023-01-01,2,1,0,0.0,25.0
steel_34,Q245A,JTJ5X69,GB/T 6060-2017,25,3500,5000,F1,2023-01-01,200002,Q1,2023-01-01,3,0,1,0.0,25.0
steel_35,Q245R(R-HIC),XN9SJHS,GB/T 3050-2020,15,2500,5000,F8,2023-01-02,200002,Q1,2023-01-01,3,1,0,16.0,31.0
steel_36,Q345R(R-HIC),3WKN3HU,GB/T 4040-2019,8,4700,5000,F5,2023-01-03,200002,Q1,2023-01-01,4,1,1,26.0,34.0
steel_37,Q235C,64ZVC5J,GB/T 3050-2020,8,2700,11500,F3,2023-01-03,200002,Q1,2023-01-01,1,1,1,0.0,8.0
steel_38,Q235C,5BQX6VN,GB/T 1122-2021,15,2700,5000,F2,2023-01-02,200002,Q1,2023-01-01,0,1,2,0.0,15.0
steel_39,Q235D,6E4XD2W,GB/T 2025-2015,20,2700,7500,F4,2023-01-01,200002,Q1,2023-01-01,2,1,0,25.0,45.0
steel_40,Q235B,HC01IZP,GB/T 3050-2020,10,2500,7500,F5,2023-01-03,200002,Q1,2023-01-01,5,1,1,8.0,18.0
steel_41,Q345B,RA9VXLL,GB/T 4040-2019,25,2500,5000,F7,2023-01-02,200002,Q1,2023-01-01,4,0,0,36.0,61.0
steel_42,Q345R(R-HIC),TDOT4RG,GB/T 5050-2018,8,2700,11500,F5,2023-01-03,200002,Q1,2023-01-01,1,0,1,21.0,29.0
steel_43,Q235D,4K4TR0M,GB/T 5050-2018,8,2500,13000,F1,2023-01-01,200002,Q1,2023-01-01,2,0,0,46.0,54.0
steel_44,Q235B,V9NRN6N,GB/T 2025-2015,16,4700,5000,F3,2023-01-02,200002,Q1,2023-01-01,0,1,0,36.0,52.0
steel_45,Q345R(R-HIC),CQMGZVJ,GB/T 4040-2019,20,2500,5000,F5,2023-01-03,200002,Q1,2023-01-01,3,0,0,0.0,20.0
steel_46,Q235C,V9NRN6N,GB/T 2025-2015,8,4700,13000,F7,2023-01-01,200002,Q1,2023-01-01,5,0,1,35.0,43.0
steel_47,Q245R(R-HIC),3TJ2JZ4,GB/T 6060-2017,18,3500,11500,F5,2023-01-02,200002,Q1,2023-01-01,5,1,0,50.0,68.0
steel_48,Q345R(R-HIC),SGT2BRK,GB/T 5050-2018,18,3500,5000,F6,2023-01-03,200002,Q1,2023-01-01,5,1,1,18.0,36.0
steel_49,Q245R(R-HIC),DUFOY38,GB/T 6060-2017,25,2700,15000,F7,2023-01-02,200002,Q1,2023-01-01,4,0,0,61.0,86.0
steel_50,Q245R(R-HIC),C9ZB19I,GB/T 2025-2015,18,4700,7500,F6,2023-01-02,200002,Q1,2023-01-01,2,0,1,18.0,36.0
steel_51,Q345B,MNGEAXH,GB/T 2025-2015,20,2700,7500,F1,2023-01-01,200002,Q1,2023-01-01,4,1,0,0.0,20.0
steel_52,Q245A,3W69200,GB/T 3050-2020,21,2700,5000,F5,2023-01-01,200002,Q1,2023-01-01,1,1,0,0.0,21.0
steel_53,Q345R(R-HIC),K6CAJCP,GB/T 4040-2019,8,2500,11500,F5,2023-01-03,200002,Q1,2023-01-01,0,1,1,36.0,44.0
steel_54,Q235D,D258TC6,GB/T 3050-2020,18,4700,7500,F2,2023-01-01,200002,Q1,2023-01-01,2,2,1,16.0,34.0
steel_55,Q345R(R-HIC),MTTD9XI,GB/T 2025-2015,25,2700,11500,F5,2023-01-03,200002,Q1,2023-01-01,1,2,0,0.0,25.0
steel_56,Q345R(R-HIC),DF8AJZJ,GB/T 6060-2017,20,4700,11500,F5,2023-01-03,200002,Q1,2023-01-01,0,2,1,41.0,61.0
steel_57,Q345B,6E4XD2W,GB/T 5050-2018,21,2500,7500,F6,2023-01-03,200002,Q1,2023-01-01,2,1,0,45.0,66.0
steel_58,Q345R(R-HIC),S12UU4J,GB/T 4040-2019,8,4700,17000,F4,2023-01-03,200002,Q1,2023-01-01,1,0,1,29.0,37.0
steel_59,Q245R(R-HIC),M1UPZ3Y,GB/T 4040-2019,21,3500,7500,F5,2023-01-01,200002,Q1,2023-01-01,1,0,2,20.0,41.0
steel_60,Q345R(R-HIC),TXMSCFY,GB/T 6060-2017,18,2700,7500,F5,2023-01-02,200002,Q1,2023-01-01,4,1,1,34.0,52.0
steel_61,Q245R(R-HIC),9E3B5FE,GB/T 2025-2015,18,3500,13000,F1,2023-01-02,200002,Q1,2023-01-01,1,1,1,8.0,26.0
steel_62,Q245R(R-HIC),RUB4SJD,GB/T 4040-2019,8,4700,15000,F7,2023-01-03,200002,Q1,2023-01-01,0,1,2,15.0,23.0
steel_63,Q245R(R-HIC),NPTQH1M,GB/T 4040-2019,8,4700,7500,F5,2023-01-01,200002,Q1,2023-01-01,0,2,0,10.0,18.0
steel_64,Q245R(R-HIC),AJK6SED,GB/T 4040-2019,20,2500,11500,F4,2023-01-01,200002,Q1,2023-01-01,3,1,1,0.0,20.0
steel_65,Q235C,3HEYBFO,GB/T 1122-2021,8,2500,11500,F1,2023-01-03,200002,Q1,2023-01-01,0,0,0,25.0,33.0
steel_66,Q235C,DUFOY38,GB/T 1122-2021,25,2700,11500,F4,2023-01-02,200002,Q1,2023-01-01,3,0,1,25.0,50.0
